"title_english","genre"
"School Rumble","Comedy, Romance, School, Shounen"
"Dragon Ball Z","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
"Assassination Classroom","Action, Comedy, School, Shounen"
"Haganai: I don&#039;t have many friends","Ecchi, Slice of Life, Comedy, Harem, Romance, School"
"Kizumonogatari Part 1: Tekketsu","Mystery, Supernatural, Vampire"
"Say ""I Love You"".","Drama, Romance, School, Shoujo"
"Your Name.","Supernatural, Drama, Romance, School"
"The Disappearance of Haruhi Suzumiya","Comedy, Mystery, Romance, School, Sci-Fi, Supernatural"
"Kiki&#039;s Delivery Service","Adventure, Comedy, Drama, Magic, Romance, Fantasy"
"Honey and Clover","Comedy, Drama, Josei, Romance, Slice of Life"
"Masamune-kun&#039;s Revenge","Harem, Comedy, Romance, School, Shounen"
"Date A Live","Comedy, Harem, Mecha, Romance, School, Sci-Fi"
"Pokémon","Action, Adventure, Comedy, Kids, Fantasy"
"Baka & Test - Summon the Beasts","Comedy, Romance, School, Super Power"
"Tokyo Ghoul","Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen"
"Gintama Season 4","Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
"AHO-GIRL","Comedy, Romance, School, Shounen"
"Serial Experiments Lain","Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural"
"KILL la KILL","Action, Comedy, Super Power, Ecchi, School"
"Evangelion: 2.0 You Can (Not) Advance","Action, Sci-Fi, Mecha"
"A Lull in the Sea","Drama, Fantasy, Romance"
"","Action, Super Power, Fantasy"
"Akashic Records of Bastard Magic Instructor","Action, Magic, Fantasy, School"
"Beyond the Boundary","Slice of Life, Supernatural, Fantasy"
"BLEND-S","Slice of Life, Comedy"
"Non Non Biyori","Comedy, School, Seinen, Slice of Life"
"WataMote: No Matter How I Look At It, It&#039;s You Guys&#039; Fault I&#039;m Unpopular!","Slice of Life, Comedy, School, Shounen"
"Kämpfer","Action, Comedy, Ecchi, Romance, School, Shoujo Ai, Super Power"
"My Teen Romantic Comedy SNAFU","Slice of Life, Comedy, Drama, Romance, School"
"And you thought there is never a girl online?","Game, Comedy, Romance, Ecchi, School"
"The Tatami Galaxy","Mystery, Comedy, Psychological, Romance"
"Is this A Zombie? of the Dead","Action, Harem, Comedy, Supernatural, Magic, Ecchi"
"Nyan Koi!","Harem, Comedy, Romance"
"Nyaruko: Crawling With Love!","Sci-Fi, Comedy, Parody"
"Chaika -The Coffin Princess-","Action, Adventure, Comedy, Romance, Fantasy"
"Owarimonogatari","Mystery, Comedy, Supernatural, Vampire"
"Heaven&#039;s Memo Pad","Mystery"
"Princess Mononoke","Action, Adventure, Fantasy"
"Gantz","Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi"
"Shakugan no Shana: Season III","Action, Supernatural, Drama, Romance, Fantasy"
"Howl&#039;s Moving Castle","Adventure, Drama, Fantasy, Romance"
"From the New World","Sci-Fi, Mystery, Horror, Psychological, Supernatural, Drama"
"The Heroic Legend of Arslan","Action, Adventure, Historical, Drama, Fantasy, Shounen"
"Ghost in the Shell: Stand Alone Complex","Action, Military, Sci-Fi, Police, Mecha, Seinen"
"Afro Samurai","Action, Adventure, Samurai"
"Brynhildr in the Darkness","Drama, Mystery, Sci-Fi, Seinen"
"Gamers!","Comedy, Romance, School"
"Golden Time","Comedy, Drama, Romance"
"So, I Can&#039;t Play H!","Comedy, Ecchi, Romance, Supernatural"
"Aria the Scarlet Ammo","Action, Comedy, Romance, School"
"JoJo&#039;s Bizarre Adventure: Stardust Crusaders - Battle in Egypt","Action, Adventure, Drama, Shounen, Supernatural"
"The Testament of Sister New Devil","Action, Harem, Demons, Romance, Ecchi, Fantasy"
"Fullmetal Alchemist: Brotherhood","Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen"
"Reborn!","Action, Comedy, Shounen, Super Power"
"Fairy Tail Series 2","Action, Adventure, Comedy, Fantasy, Magic, Shounen"
"Is It Wrong to Try to Pick Up Girls in a Dungeon?","Action, Adventure, Comedy, Romance, Fantasy"
"A Certain Scientific Railgun","Action, Sci-Fi, Super Power"
"Clannad ~After Story~","Slice of Life, Comedy, Supernatural, Drama, Romance"
"The Qwaser of Stigmata","Action, Super Power, Supernatural, Ecchi, Seinen"
"JoJo&#039;s Bizarre Adventure: Diamond is Unbreakable","Action, Adventure, Comedy, Supernatural, Drama, Shounen"
"Baka & Test – Summon the Beasts 2","Comedy, Super Power, Romance, School"
"Wolf Children","Slice of Life, Fantasy"
"Trinity Seven","Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen"
"Amnesia","Harem, Mystery, Romance, Fantasy, Josei"
"Steins;Gate","Thriller, Sci-Fi"
"Plastic Memories","Sci-Fi, Drama, Romance"
"Kanon","Slice of Life, Supernatural, Drama, Romance"
"Myriad Colors Phantom World","Action, Comedy, Fantasy, Slice of Life, Supernatural"
"Rurouni Kenshin","Action, Adventure, Comedy, Historical, Romance, Samurai"
"Barakamon","Comedy, Slice of Life"
"Monthly Girls&#039; Nozaki-kun","Comedy, Romance, School"
"","Supernatural, Drama, School"
"The Fruit of Grisaia","Drama, Harem, Psychological, Romance, School"
"Psycho-Pass","Action, Police, Psychological, Sci-Fi"
"Wolf Girl & Black Prince","Comedy, Romance, School, Shoujo"
"Tsuredure Children","Comedy, Romance, School, Shounen"
"","Mystery, Historical, Drama, Romance"
"The Pet Girl of Sakurasou","Comedy, Drama, Romance, School, Slice of Life"
"Ghost in the Shell","Action, Sci-Fi, Police, Psychological, Mecha, Seinen"
"Durarara!! x2 Ten","Action, Mystery, Supernatural"
"Nausicaä of the Valley of the Wind","Adventure, Fantasy"
"Black Rock Shooter","Action, Drama, School, Slice of Life"
"Riddle Story of Devil","Action, School, Shoujo Ai"
"Charlotte","Drama, School, Super Power"
"When They Cry","Mystery, Dementia, Horror, Psychological, Supernatural, Thriller"
"Kuroko&#039;s Basketball","Comedy, School, Shounen, Sports"
"Nisekoi: False Love","Comedy, Harem, Romance, School, Shounen"
"Is This a Zombie?","Action, Comedy, Ecchi, Harem, Magic, Supernatural"
"Problem children are coming from another world, aren&#039;t they?","Action, Comedy, Fantasy, Supernatural"
"Digimon: Digital Monsters","Action, Adventure, Comedy, Fantasy, Kids"
"Air","Slice of Life, Supernatural, Drama, Romance"
"Prison School","Comedy, Ecchi, Romance, School, Seinen"
"Vampire Knight: Guilty","Mystery, Supernatural, Drama, Romance, Vampire, Shoujo"
"Fate/Zero Season 2","Action, Supernatural, Magic, Fantasy"
"Blood Blockade Battlefront","Action, Comedy, Super Power, Supernatural, Vampire, Fantasy, Shounen"
"Berserk","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
"Log Horizon","Action, Game, Adventure, Magic, Fantasy"
"Dragon Ball","Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
"Hellsing","Action, Horror, Supernatural, Vampire, Seinen"
"High School DxD BorN","Action, Comedy, Demons, Ecchi, Harem, Romance, School"
"Shaman King","Action, Adventure, Comedy, Supernatural, Drama, Shounen"
"The ""Hentai"" Prince and the Stony Cat.","Harem, Comedy, Supernatural, Romance, School"
"Motto To LOVE Ru","Sci-Fi, Harem, Comedy, Ecchi, School, Shounen"
"My Hero Academia 2","Action, Comedy, Super Power, School, Shounen"
"When They Cry: Kai","Mystery, Psychological, Supernatural, Thriller"
"SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn&#039;t Exist","Comedy, Ecchi, School"
"Inuyashiki: Last Hero","Action, Drama, Psychological, Sci-Fi, Seinen"
"March comes in like a lion","Game, Slice of Life, Drama, Seinen"
"Nura: Rise of the Yokai Clan","Action, Demons, Shounen, Supernatural"
"D.Gray-man","Action, Adventure, Comedy, Super Power, Demons, Shounen"
"Sankarea: Undying Love","Comedy, Horror, Supernatural, Romance, Ecchi, Shounen"
"Full Metal Panic! The Second Raid","Action, Military, Mecha"
"Freezing","Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen"
"KonoSuba: God&#039;s Blessing on This Wonderful World! 2","Adventure, Comedy, Parody, Supernatural, Magic, Fantasy"
"Naruto","Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
"Black Cat","Adventure, Comedy, Sci-Fi, Shounen, Super Power"
"Special A (S.A)","Comedy, Romance, School, Shoujo"
"Overlord II","Action, Adventure, Fantasy, Game, Magic, Supernatural"
"Unbreakable Machine-Doll","Action, Ecchi, Fantasy, School"
"Bunny Drop","Josei, Slice of Life"
"","Action, Super Power, Drama, Fantasy, Shounen"
"Little Witch Academia","Adventure, Comedy, Fantasy, Magic, School"
"Love Live! School Idol Project","Slice of Life, Music, School"
"Sailor Moon","Demons, Magic, Romance, Shoujo"
"Amagami SS","Slice of Life, Comedy, Romance, School"
"High School of the Dead","Action, Horror, Supernatural, Ecchi, Shounen"
"anohana: The Flower We Saw That Day","Slice of Life, Supernatural, Drama"
"","Action, Sci-Fi, Mystery, Super Power"
"Neon Genesis Evangelion","Action, Sci-Fi, Dementia, Psychological, Drama, Mecha"
"Daily Lives of High School Boys","Slice of Life, Comedy, School"
"Free! - Eternal Summer","Slice of Life, Comedy, Sports, Drama, School"
"xxxHOLiC","Mystery, Comedy, Psychological, Supernatural, Drama"
"Boruto: Naruto Next Generations","Action, Adventure, Martial Arts, Shounen, Super Power"
"Hellsing Ultimate","Action, Military, Horror, Supernatural, Vampire, Seinen"
"","Comedy, School, Shounen, Slice of Life"
"Bungo Stray Dogs 2","Action, Mystery, Supernatural, Seinen"
"Outbreak Company","Harem, Comedy, Parody, Fantasy"
"Infinite Stratos 2","Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha"
"Yu-Gi-Oh!","Adventure, Game, Shounen"
"Made in Abyss","Sci-Fi, Adventure, Mystery, Drama, Fantasy"
"Log Horizon 2","Action, Adventure, Fantasy, Game, Magic"
"Blue Exorcist: Kyoto Saga","Action, Demons, Supernatural, Fantasy, Shounen"
"Sword Art Online II","Action, Game, Adventure, Romance, Fantasy"
"Mob Psycho 100","Action, Slice of Life, Comedy, Supernatural"
"The Melancholy of Haruhi Suzumiya","Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life"
"Panty & Stocking with Garterbelt","Action, Comedy, Parody, Supernatural, Ecchi"
"Orange","Sci-Fi, Drama, Romance, School, Shoujo"
"Trigun","Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
"KenIchi: The Mightiest Disciple","Action, Comedy, Martial Arts, School, Shounen"
"Eureka Seven","Sci-Fi, Adventure, Drama, Romance, Mecha"
"Blue Exorcist","Action, Demons, Fantasy, Shounen, Supernatural"
"Akame ga Kill!","Action, Adventure, Drama, Fantasy, Shounen"
"When Supernatural Battles Became Commonplace","Slice of Life, Comedy, Supernatural, Romance, School"
"","Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
"The World God Only Knows II","Comedy, Harem, Romance, Shounen, Supernatural"
"Lord Marksman and Vanadis","Adventure, Ecchi, Fantasy, Harem, Romance"
"Spice and Wolf","Adventure, Fantasy, Historical, Romance"
"Wolf&#039;s Rain","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
"Haikyu!!","Comedy, Drama, School, Shounen, Sports"
"Darker than Black: Gemini of the Meteor","Action, Sci-Fi, Mystery, Super Power"
"Penguindrum","Mystery, Comedy, Dementia, Psychological, Drama"
"Spice and Wolf II","Adventure, Historical, Romance, Fantasy"
"The Seven Deadly Sins: Signs of Holy War","Action, Adventure, Supernatural, Magic, Ecchi, Fantasy, Shounen"
"Hamatora The Animation","Mystery, Comedy, Super Power, Drama"
"Heaven&#039;s Lost Property","Sci-Fi, Harem, Comedy, Supernatural, Romance, Ecchi, Shounen"
"Kiznaiver","Sci-Fi, Drama, Romance"
"FLCL","Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha"
"The Saga of Tanya the Evil","Magic, Military"
"","Sci-Fi, Thriller"
"High School DxD","Comedy, Demons, Ecchi, Harem, Romance, School"
"K-ON!","Slice of Life, Comedy, Music, School"
"GATE","Action, Military, Adventure, Fantasy"
"Food Wars! The Second Plate","Ecchi, School, Shounen"
"Yona of the Dawn","Action, Adventure, Comedy, Fantasy, Romance, Shoujo"
"Chivalry of a Failed Knight","Action, Romance, Ecchi, Fantasy, School"
"Sword Art Online","Action, Adventure, Fantasy, Game, Romance"
"Sword Art Online the Movie -Ordinal Scale-","Action, Game, Adventure, Romance, Fantasy"
"Noragami: Stray God","Action, Adventure, Comedy, Supernatural, Shounen"
"Oreshura","Comedy, Harem, Romance, School"
"Fate/Zero","Action, Supernatural, Magic, Fantasy"
"Tokyo Ravens","Comedy, Supernatural, Magic, Romance, School"
"Samurai Champloo","Action, Adventure, Comedy, Historical, Samurai, Shounen"
"Samurai X: Trust and Betrayal","Action, Historical, Drama, Romance, Martial Arts, Samurai"
"My Love Story!!","Comedy, Romance, Shoujo"
"No Game, No Life","Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy"
"Puella Magi Madoka Magica the Movie: Rebellion","Psychological, Drama, Magic, Thriller"
"Haikyu!! 3rd Season","Comedy, Sports, Drama, School, Shounen"
"Gintama","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"God Eater","Action, Military, Sci-Fi, Fantasy"
"A Silent Voice","Drama, School, Shounen"
"The Girl Who Leapt Through Time","Sci-Fi, Adventure, Drama, Romance"
"Aesthetica of a Rogue Hero","Action, Super Power, Ecchi, Fantasy"
"Miss Kobayashi&#039;s Dragon Maid","Slice of Life, Comedy, Fantasy"
"Monster Musume: Everyday Life with Monster Girls","Harem, Comedy, Romance, Ecchi, Fantasy, Seinen"
"Eromanga Sensei","Comedy, Drama, Romance, Ecchi"
"Noragami Aragoto","Action, Adventure, Comedy, Supernatural, Shounen"
"[C] CONTROL - The Money and Soul of Possibility","Action, Mystery, Super Power, Thriller"
"Nisekoi: False Love","Harem, Comedy, Romance, School, Shounen"
"Drifters","Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen"
"The Ambition of Oda Nobuna","Comedy, Historical, Romance"
"Violet Evergarden","Slice of Life, Drama, Fantasy"
"Dimension W","Action, Sci-Fi, Seinen"
"91 Days","Action, Drama, Historical"
"Magi: The Kingdom of Magic","Action, Adventure, Magic, Fantasy, Shounen"
"Boruto: Naruto the Movie","Action, Comedy, Super Power, Martial Arts, Shounen"
"Gabriel DropOut","Comedy, Demons, Supernatural, School, Shounen"
"Spirited Away","Adventure, Supernatural, Drama"
"Clannad: Another World, Tomoyo Chapter","Drama, Romance, School, Slice of Life"
"BLOOD-C","Action, Mystery, Horror, Supernatural, Vampire, School"
"Scum&#039;s Wish","Drama, Romance, Ecchi, School, Seinen"
"Baccano!","Action, Mystery, Comedy, Historical, Supernatural"
"Place to Place","Slice of Life, Comedy, Romance, School, Seinen"
"Food Wars! Shokugeki no Soma","Ecchi, School, Shounen"
"The Boy and the Beast","Adventure, Supernatural"
"Gargantia on the Verdurous Planet","Action, Sci-Fi, Adventure, Mecha"
"Chrono Crusade","Action, Historical, Demons, Supernatural, Romance"
"Aldnoah.Zero","Action, Military, Sci-Fi, Mecha"
"Black Clover","Action, Comedy, Magic, Fantasy, Shounen"
"Code Geass: Lelouch of the Rebellion R2","Action, Military, Sci-Fi, Super Power, Drama, Mecha"
"Food Wars! The Third Plate","Ecchi, School, Shounen"
"The Familiar of Zero F","Adventure, Magic, Romance, Ecchi, Fantasy"
"Dragon Ball GT","Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power"
"Blue Spring Ride","Comedy, Drama, Romance, School, Shoujo, Slice of Life"
"ef - a tale of memories.","Mystery, Drama, Romance"
"YuruYuri: Happy Go Lily","Comedy, School, Shoujo Ai, Slice of Life"
"Evangelion: 1.0 You Are (Not) Alone","Action, Sci-Fi, Mecha"
"K","Action, Super Power, Supernatural"
"Haganai: I don&#039;t have many friends NEXT","Harem, Slice of Life, Comedy, Romance, School"
"Kabaneri of the Iron Fortress","Action, Drama, Fantasy, Horror"
"MEKAKUCITY ACTORS","Sci-Fi, Comedy, Super Power, Supernatural, Romance"
"Black Bullet","Action, Sci-Fi, Mystery, Seinen"
"Monster","Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
"Rosario + Vampire Capu2","Comedy, Ecchi, Fantasy, Harem, Romance, School, Vampire"
"Kids on the Slope","Drama, Josei, Music, Romance, School"
"Ga-Rei-Zero","Action, Super Power, Supernatural, Thriller"
"ReLIFE","Slice of Life, Romance, School"
"Strike the Blood","Action, Harem, Supernatural, Ecchi, Vampire, Fantasy, School"
"My First Girlfriend is a Gal","Comedy, Romance, Ecchi, School, Shounen"
"Dragon Ball Z Kai","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
"Ajin: Demi-Human","Action, Mystery, Horror, Supernatural, Seinen"
"Death Note","Mystery, Police, Psychological, Supernatural, Thriller, Shounen"
"Assassination Classroom Second Season","Action, Comedy, School, Shounen"
"Nisemonogatari","Mystery, Comedy, Supernatural, Ecchi"
"Sekirei","Action, Comedy, Ecchi, Harem, Super Power"
"The Familiar of Zero: Rondo of Princesses","Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School"
"Attack on Titan","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
"","Action, Comedy, Supernatural, School"
"Neon Genesis Evangelion: The End of Evangelion","Sci-Fi, Dementia, Psychological, Drama, Mecha"
"Azumanga Daioh: The Animation","Slice of Life, Comedy, School"
"Welcome to the N.H.K.","Comedy, Psychological, Drama, Romance"
"Fate/stay night [Unlimited Blade Works] Season 2","Action, Supernatural, Magic, Fantasy"
"Full Metal Panic!","Action, Military, Sci-Fi, Comedy, Mecha"
"Rokka: Braves of the Six Flowers","Action, Adventure, Fantasy, Magic, Mystery"
"Kakegurui: Compulsive Gambler","Drama, Game, Mystery, Psychological, School, Shounen"
"Shirobako","Comedy, Drama"
"Jormungand","Action, Adventure, Seinen"
"Castle in the Sky","Adventure, Fantasy, Romance, Sci-Fi"
"Soul Eater","Action, Fantasy, Comedy, Supernatural, Shounen"
"School-Live!","Slice of Life, Psychological, School, Horror, Mystery"
"Terror in Resonance","Mystery, Psychological, Thriller"
"Maoyu ~ Archenemy & Hero","Adventure, Demons, Fantasy, Historical, Romance"
"To LOVE Ru Darkness","Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen"
"The Asterisk War Season 2","Sci-Fi, Harem, Comedy, Supernatural, Romance, Ecchi, Fantasy, School"
"Yu Yu Hakusho: Ghost Files","Action, Comedy, Demons, Supernatural, Martial Arts, Shounen"
"The Legend of the Legendary Heroes","Action, Adventure, Magic, Fantasy, Shounen"
"Psycho-Pass 2","Action, Sci-Fi, Police, Psychological"
"Elfen Lied","Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
"Free! - Iwatobi Swim Club","Slice of Life, Comedy, Sports, Drama, School"
"Hanamonogatari","Comedy, Mystery, Supernatural"
"Blood+","Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
"The Familiar of Zero: Knight of the Twin Moons","Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School"
"One Punch Man","Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen"
"Corpse Party: Tortured Souls","Mystery, Horror, Supernatural"
"Blade Dance of the Elementalers","Action, Harem, Comedy, Supernatural, Romance, Ecchi, Fantasy, School"
"Campione!","Comedy, Ecchi, Fantasy, Harem, Magic, Romance"
"Gintama Season 2","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"Yuri!!! On ICE","Comedy, Sports"
"JoJo&#039;s Bizarre Adventure: Stardust Crusaders","Action, Adventure, Supernatural, Drama, Shounen"
"Black Lagoon: The Second Barrage","Action, Seinen"
"Demon King Daimao","Action, Harem, Comedy, Magic, Ecchi, Fantasy, School"
"Snow White with the Red Hair","Fantasy, Romance, Drama, Shoujo"
"Sword Art Online: Extra Edition","Action, Adventure, Fantasy, Game, Romance"
"Cowboy Bebop","Action, Adventure, Comedy, Drama, Sci-Fi, Space"
"Puella Magi Madoka Magica","Drama, Magic, Psychological, Thriller"
"Perfect Blue","Dementia, Horror, Psychological, Drama"
"The Future Diary","Action, Psychological, Supernatural, Thriller, Mystery, Shounen"
"Attack on Titan Season 2","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
"","Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural"
"Parasyte -the maxim-","Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
"Fate/stay night","Action, Supernatural, Magic, Romance, Fantasy"
"Natsume&#039;s Book of Friends","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"A Certain Magical Index II","Action, Sci-Fi, Super Power, Magic"
"Infinite Stratos","Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha"
"KonoSuba: God&#039;s Blessing on This Wonderful World!","Adventure, Comedy, Parody, Supernatural, Magic, Fantasy"
"Durarara!! x2 Shou","Action, Mystery, Supernatural"
"Summer Wars","Sci-Fi, Comedy"
"Keijo!!!!!!!!","Action, Sports, Ecchi, Shounen"
"Haven&#039;t You Heard? I&#039;m Sakamoto","Slice of Life, Comedy, School, Seinen"
"Evangelion: 3.0 You Can (Not) Redo","Action, Sci-Fi, Mecha"
"Clannad ~After Story~: Another World, Kyou Chapter","Drama, Romance, School"
"Durarara!!","Action, Mystery, Supernatural"
"Durarara!! x2 Ketsu","Action, Mystery, Supernatural"
"Tamako Market","Slice of Life, Comedy"
"Tanaka-kun is Always Listless","Slice of Life, Comedy, School"
"Mushi-Shi","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"Interviews With Monster Girls","Comedy, Vampire, Fantasy, School, Seinen"
"The Kawai Complex Guide to Manors and Hostel Behavior","Slice of Life, Comedy, Romance, School"
"To LOVE Ru","Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen"
"K: Return of Kings","Action, Super Power, Supernatural"
"ERASED","Mystery, Psychological, Seinen, Supernatural"
"Black Butler: Book of Circus","Comedy, Demons, Fantasy, Historical, Shounen, Supernatural"
"The Eden of Grisaia","Drama, Harem, Psychological, Romance"
"Blood Lad","Action, Comedy, Demons, Seinen, Supernatural, Vampire"
"Katanagatari","Action, Adventure, Historical, Martial Arts, Romance"
"Great Teacher Onizuka","Comedy, Drama, School, Shounen, Slice of Life"
"","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
"The Irregular at Magic High School","Action, Sci-Fi, Supernatural, Magic, Romance, School"
"High School DxD New","Action, Harem, Comedy, Demons, Romance, Ecchi, School"
"Nichijou - My Ordinary Life","Slice of Life, Comedy, School"
"The World God Only Knows","Comedy, Harem, Romance, Shounen, Supernatural"
"Okami-San and Her Seven Companions","Comedy, Parody, Romance"
"Fullmetal Alchemist: The Movie - Conqueror of Shamballa","Military, Comedy, Historical, Drama, Fantasy, Shounen"
"Majikoi: Oh! Samurai Girls","Harem, Comedy, Super Power, Romance, Ecchi, Martial Arts, School"
"One Week Friends","Slice of Life, Comedy, School, Shounen"
"Hell Girl","Mystery, Horror, Psychological, Supernatural"
"Danganronpa: The Animation","Mystery, Psychological, School"
"Steins;Gate: Egoistic Poriomania","Sci-Fi, Comedy, Thriller"
"Love, Chunibyo & Other Delusions!: Heart Throb","Comedy, Drama, Romance, School, Slice of Life"
